Date,Open,High,Low,Close,Volume
2020-10-22,391.31,421.42,391.3,414.44,65140.4372163998
2020-10-23,414.25,419.52,402.04,409.92,39618.9522281397
2020-10-24,409.65,416.61,407.55,412.38,18458.14031274
2020-10-25,412.41,417.84,403.25,406.35,27190.6930683701
2020-10-26,406.22,411.31,382.8,393.48,73020.4579302699
2020-10-27,393.48,410.48,390.52,403.65,39937.76222947
2020-10-28,403.55,409.18,381.1,388.63,53447.3519423797
2020-10-29,388.91,394.11,380.69,387.67,53507.5591510997
2020-10-30,387.39,392.0,373.52,382.83,58405.6341375591
2020-10-31,383.07,393.76,380.77,386.81,26877.0502170999
2020-11-01,386.62,397.47,385.07,396.8,25999.38277106
2020-11-02,396.8,404.56,378.16,383.78,79339.2797836303
2020-11-03,383.43,390.41,371.0,388.01,50087.1333770897
2020-11-04,388.0,408.7,377.01,402.68,81685.2282417409
2020-11-05,402.88,421.64,396.5,417.04,93752.2602670502
2020-11-06,417.04,458.7,415.52,456.43,131858.2966714329
2020-11-07,456.58,468.83,425.0,435.81,128871.4601870922
2020-11-08,435.67,460.89,432.67,454.6,55142.2788422695
2020-11-09,454.47,459.63,434.63,444.33,88681.7184523806
2020-11-10,444.69,455.16,439.0,451.35,56256.8405248897
2020-11-11,451.59,476.57,450.02,464.39,80321.7075645906
2020-11-12,463.69,470.0,451.1,462.86,66834.944276319
2020-11-13,463.11,478.48,458.0,477.06,75582.0379385603
2020-11-14,477.26,477.98,451.95,461.18,45791.8257932292
2020-11-15,461.38,463.14,440.44,448.49,46902.4288650693
2020-11-16,448.22,466.0,445.95,460.3,52599.7169378592
2020-11-17,460.73,484.9,460.29,482.89,90310.069644912
2020-11-18,482.79,495.4,454.56,479.11,141538.2662728223
2020-11-19,479.26,481.99,465.2,471.97,48357.1761341291
2020-11-20,472.05,514.77,471.5,510.38,108562.0624563705
2020-11-21,510.37,553.5,502.72,552.55,102160.7082334815
2020-11-22,552.57,581.82,512.0,561.48,130655.9911652622
2020-11-23,560.88,611.58,550.62,609.09,152818.2408885114
2020-11-24,609.01,623.47,590.0,605.28,142957.4236585714
2020-11-25,605.28,606.63,554.0,569.52,96865.1919082792
2020-11-26,569.3,577.43,478.38,520.0,260262.0580717972
2020-11-27,520.29,530.99,493.44,518.8,85762.2647947009
2020-11-28,518.81,548.5,507.1,538.27,71826.7167838185
2020-11-29,538.01,576.9,530.75,576.22,71937.1285813891
2020-11-30,576.45,617.37,571.23,616.65,143580.3623387108
2020-12-01,616.84,636.58,555.71,586.38,192132.404135808
2020-12-02,586.01,605.34,575.2,597.74,61798.0968606492
2020-12-03,597.5,624.53,586.24,616.57,65570.4943218586
2020-12-04,616.57,620.57,565.62,567.79,89002.0649496306
2020-12-05,567.57,597.69,561.34,597.0,48755.0820744893
2020-12-06,596.99,607.68,582.77,602.64,56437.7878205496
2020-12-07,602.65,602.99,584.6,591.26,32957.8501880599
2020-12-08,591.25,595.0,548.14,554.65,76992.9591321596
2020-12-09,554.65,577.97,530.0,573.21,94064.1773722702
2020-12-10,573.16,575.28,548.29,558.33,45306.0735625894
2020-12-11,558.9,560.35,535.1,544.24,65090.6218468785
2020-12-12,544.38,574.0,543.07,568.09,47210.5644793897
2020-12-13,567.94,595.0,563.45,590.35,59837.0486791493
2020-12-14,590.25,591.65,576.06,586.27,39433.5263987697
2020-12-15,586.28,596.9,576.72,589.41,43995.0235660093
2020-12-16,589.41,639.1,581.5,638.28,88744.5623339411
2020-12-17,638.01,676.61,628.05,643.43,154159.1470795313
